,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
BPCL,0.45528917443931105,0.4951165145628619,0.1749731116037148,0.2157870430370839,0.22293609594640457,0.21553089516939256,0.3452858837599202,0.2726077448987997,0.5058022998638141,0.2650199796002171,1.0,0.02018756929071287,0.06544790568261598,0.6025044763162288,0.17969947595067698,0.24659030120715233,0.34824736218597874,0.13905369181873212,0.23438045426749687,0.17914230672592743,0.2290144722408093,0.3469617856650464,-0.0014986188671549845,0.22719149472096598,0.3569378290536558,0.126542243588346,0.18157116220853695,0.3664248738585794,0.15575241690323138,0.468828215221777,0.2805196828258847,0.2887807448452299,0.05928383502058228,0.5907585310320111,0.5952959294022607,0.5313827749885819,0.481098717806072,0.2401668415969443,0.5254628785296441,0.3863220247948607,0.20549427878277168,0.156373457077185,0.4156788766040579,0.4628854156186058,0.175425900920932,0.20163162056503509,0.27508600155964086,0.21275481754652759,0.40165052617642993,0.211944821719478
BRITANNIA,0.13065452751712736,0.13339957142274125,0.2317356789069558,0.42689645037132845,0.13077533096250715,0.09470688126432453,0.22547755496666103,0.20793572741340904,0.07318681689648109,0.12122592780048837,0.02018756929071287,1.0,0.14979661874768815,0.0770649636487559,0.18636660342425213,0.10598132969850758,0.21844016640295544,0.11741685606537981,0.06990503111278008,-0.0006101619056688689,0.18468844471408838,0.10398959279612636,0.46828334590775983,0.046590157878153265,0.11789502838816954,0.1066992748955334,0.37640022948131746,0.19542312489178917,0.22539551167605787,0.09259906996851873,0.1265865854047145,0.17399945073060336,0.4637505359571739,0.0790820109299389,0.03895356551339911,-0.026592130238989525,0.13750535117666066,0.08849708581332989,-0.0013209616659921924,0.11630855727764502,0.1879360101779578,0.4050083317635453,0.10901851131774232,0.1188338580755277,0.1176574228785195,0.12966400740384826,0.07310938682866647,0.034250779269502325,0.18181408288916096,0.1691095118602568
CIPLA,0.09423833987571031,0.09111765627994348,0.23111419982026138,0.14701800416538524,0.08525963060396051,0.04353632458552275,0.13592832671322808,0.053728416249761435,0.08240447720412877,0.11996289410969121,0.06544790568261598,0.14979661874768815,1.0,0.08693810419507034,0.4122812872467553,0.08198272024667475,0.16755614625118978,0.05456569566835468,-0.03213440034904811,0.08704621175806497,0.14832452944096458,0.09775748429176705,0.042073479591646555,0.0817469886521778,0.0464387278001757,0.06318707294981711,0.12774478934914657,0.1615995702728533,0.03624494443248808,0.15863644831926704,0.1742578981846201,0.07938785391116626,0.11612688233186644,0.09237528236547853,0.033604062288241185,0.12963594375339096,0.058345290979761565,0.1297996887802289,0.02799974110682328,0.09791128190381693,0.4147589169737103,0.07322738443147281,0.06896596173427366,0.1311124352118802,0.07902188833691759,0.05219913311620206,0.10752922970429055,0.13647299223916814,0.1333282702269815,0.08759535187024256
COALINDIA,0.49453393923651795,0.5462015362250399,0.24353676765517565,0.19498635297901867,0.33255272516175144,0.225769933155767,0.27973864895104394,0.2802464284976224,0.6202616180735312,0.2670370815406414,0.6025044763162288,0.0770649636487559,0.08693810419507034,1.0,0.17956027885891732,0.2952071505388764,0.2813762054329188,0.18763285280218953,0.26937766072760755,0.2112646545037048,0.2515720792019354,0.3879458739584541,-0.038130345498176295,0.24860797350541586,0.34369420568839676,0.11752071715232679,0.24418980238539476,0.44003819846992115,0.228943802491796,0.48889036505851113,0.29031299656008924,0.2801732159551891,0.08371886814074586,0.6177820746150615,0.6478178232214918,0.5340375597261456,0.5069564751785052,0.2537808499692649,0.516040029566645,0.42629126368416675,0.17747109824151913,0.21307221678050367,0.4063151384918448,0.5354247046083493,0.09526341482137556,0.1781729853668627,0.2383360215458712,0.2546288946903731,0.32122101334479675,0.23579396811295908
DRREDDY,0.16455213475025532,0.16097227508658982,0.2354479973306277,0.14996097261207375,0.09146149968460622,0.1048900615339811,0.2577564916617612,0.08830834706220486,0.13147474167679138,0.17809431030362347,0.17969947595067698,0.18636660342425213,0.4122812872467553,0.17956027885891732,1.0,0.1380544106957669,0.25260067890443233,0.2297067760071271,0.139415508572311,0.1226155064328494,0.14105412040744475,0.2075573042895502,0.16335780615495074,0.03474269773495801,0.08662170158561452,0.24261214084038682,0.18601220764515985,0.2442782206628036,-0.04990045805380203,0.12510593527507402,0.2275933128487781,0.13839076283315427,0.2180152514947763,0.20916327584857525,0.1809175310577822,0.1905509253780308,0.16029196337667473,0.20465401053265278,0.13819604429995,0.1412270575118756,0.3966864827885487,0.11061534930378142,0.20012481814165411,0.20722235085007384,0.22321168844679296,0.2200186329222398,0.13999051002242102,0.16886989172802994,0.2515584923990298,0.2798386129571328
EICHERMOT,0.33164697118309283,0.2696101621425376,0.2903387309533501,0.25791414980589167,0.2861612260064072,0.27613010745461614,0.2413557153873387,0.1895783026920611,0.28422283427027845,0.2947335761302531,0.24659030120715233,0.10598132969850758,0.08198272024667475,0.2952071505388764,0.1380544106957669,1.0,0.3788460069315661,0.17760721454022615,0.28640682659972294,0.23607874619298044,0.2701241888817561,0.27632247515190356,0.12002584992824754,0.35130827193487035,0.2678058073282277,0.13271702931998292,0.2627810469831922,0.32916958551550163,0.24032125182374203,0.337278635134227,0.35548807669007876,0.38859140248651347,0.1334036789974509,0.2709340347110787,0.24019208840280312,0.21484635830841908,0.33606691379693726,0.31184742138228616,0.31463548867263075,0.3656603267327274,0.17528292835579262,0.17237511343703016,0.31662007686741156,0.31449871414501435,0.14377616471917185,0.18957844427939843,0.26820570294019325,0.2346391132145663,0.304244015171215,0.2622352946442781
GRASIM,0.34446791320876796,0.3561018510820143,0.258183900052624,0.34445261938387256,0.36705276889624344,0.2006611069523685,0.4350985039815248,0.3689801356272415,0.33792521416902865,0.2971920079441291,0.34824736218597874,0.21844016640295544,0.16755614625118978,0.2813762054329188,0.25260067890443233,0.3788460069315661,1.0,0.15886342801522985,0.3006007664350249,0.25409349771495404,0.28732586702383356,0.4371894528507637,0.1676321274071574,0.40526349815616486,0.3423921319823583,0.1833473672409521,0.27867419546188293,0.5078760998364702,0.24638142816571143,0.3538997325846838,0.30815278489612147,0.2957718713534474,0.2631353302597681,0.39938931479831835,0.32578330937037464,0.35890715730895756,0.40282035284794543,0.250492552487582,0.43058102176180124,0.358049122576349,0.21812160094679922,0.2829945522212846,0.33630421218517115,0.46364574877882075,0.17994312740717625,0.17511026173481065,0.3682972638728635,0.24146931715943976,0.5901162976104107,0.24500198872893586
HCLTECH,0.13991584818529543,0.15263950984390606,0.27918102640548,0.11748352916689656,0.10749568588042561,0.12451594805403986,0.26782642256031913,0.18318710876005104,0.22404080222481787,0.2584367995257953,0.13905369181873212,0.11741685606537981,0.05456569566835468,0.18763285280218953,0.2297067760071271,0.17760721454022615,0.15886342801522985,1.0,0.04492441327674658,0.12758758153591207,0.13200455760069055,0.25394907677170775,0.12318501580534467,0.10751677968460914,0.1218945396366945,0.6897400029568795,0.17785421430167275,0.25520682044884657,0.12301184832805688,0.2249601406981299,0.19807426641505876,0.21402796829518914,0.10226297528445835,0.1626841293745512,0.21937251525111653,0.11698936833125385,0.27662855466305286,0.20805574892105155,0.21270998339292208,0.23307661944221786,0.15609948334667414,0.2095399465246621,0.2693343420188279,0.2687192519614349,0.6290794218553654,0.5482800795106635,0.1994405969482101,0.20742160822044678,0.2054418465312309,0.5806673330151051
HDFCBANK,0.33811803466909623,0.3753048989812308,0.11023752261978258,0.26432298479719046,0.42493057844684556,0.1822326625269816,0.3187053884007639,0.3316323063963939,0.33075150026978845,0.21102824534153175,0.23438045426749687,0.06990503111278008,-0.03213440034904811,0.26937766072760755,0.139415508572311,0.28640682659972294,0.3006007664350249,0.04492441327674658,1.0,0.22182829125604406,0.10769745075866194,0.26205599620077663,0.07931328803043683,0.43343202017590365,0.3666265891925776,0.11001535425594604,0.16706536775383027,0.3692665318229937,0.4233068060804703,0.34548165398634045,0.3310747964614292,0.2381482584916488,0.08009735208051748,0.33896418120123023,0.2806102267917217,0.3140149287401469,0.313813256464031,0.21236157271541603,0.35761420795769344,0.33317606651423975,0.07182001130779199,0.10865415793250464,0.2049862716770668,0.3807644072947067,0.045285713021930095,0.20466715125050258,0.1880207165069055,0.10273877743327112,0.3602093012902187,0.19359915108672426
HDFCLIFE,0.21683936983717594,0.24705928318329237,0.1416693251268474,0.20602238440023707,0.25147867968575494,0.19190170740372323,0.34735050469943846,0.3071010890830492,0.2513021584213301,0.21503195908791412,0.17914230672592743,-0.0006101619056688689,0.08704621175806497,0.2112646545037048,0.1226155064328494,0.23607874619298044,0.25409349771495404,0.12758758153591207,0.22182829125604406,1.0,0.2175975481290658,0.20192053085212458,0.13667033054518485,0.19820372116116067,0.18167766776174518,0.07306761553396389,0.1973892242985602,0.25802162776936577,0.2095446287440746,0.2580606050734376,0.21134161568045154,0.2499312399281996,0.12410162696023953,0.2066614719001846,0.20544491663495512,0.11652007462086209,0.22170223727596008,0.5965490718202711,0.21970748415859812,0.3049213698677052,0.16851839535848304,0.21430714759933833,0.22416569486239962,0.2751765259367283,0.11544945717421162,0.11952917452276812,0.22662237572459545,0.2021288353139199,0.24181937039404472,0.19426052160800375
HEROMOTOCO,0.20857649616245805,0.20251187920765518,0.24815300033560925,0.1801867818401592,0.1725822614323336,0.4068006967052391,0.23621133941250186,0.17123927720211993,0.08777086588217861,0.18391083276731263,0.2290144722408093,0.18468844471408838,0.14832452944096458,0.2515720792019354,0.14105412040744475,0.2701241888817561,0.28732586702383356,0.13200455760069055,0.10769745075866194,0.2175975481290658,1.0,0.23203681206431978,0.20605383957921522,0.14165590451430626,0.20333274974864,0.10451824532258296,0.10867524695525956,0.21255386878694132,0.14548783093948178,0.2006956852138018,0.36084224875490367,0.2941136092719679,0.24473976363788688,0.14858363979285621,0.19713463957410307,0.1376210862200542,0.24434205373342557,0.20195252049567514,0.13669325328463705,0.25748245243009177,0.2204618593829511,0.21235129624272617,0.29074636363997075,0.28777367998294917,0.10866546662495381,0.1112428093042145,0.30247981842439675,0.21854493396314334,0.29538277419468284,0.20458284696276116
HINDALCO,0.3049663395211938,0.33776150800328864,0.0625473779803071,0.21225208678156796,0.22737454783495714,0.21686021726845914,0.29624170160014573,0.2545385705775563,0.37587137589042985,0.29414928424467274,0.3469617856650464,0.10398959279612636,0.09775748429176705,0.3879458739584541,0.2075573042895502,0.27632247515190356,0.4371894528507637,0.25394907677170775,0.26205599620077663,0.20192053085212458,0.23203681206431978,1.0,0.07536048588065981,0.17665388503363183,0.27913988767058223,0.17839155872566248,0.1455052804050285,0.6093559590991925,0.2027425469796398,0.3307995655738285,0.297201074689898,0.28618571281135224,0.10953143991504191,0.35844289439636123,0.4098223699758876,0.3760865975688866,0.33165305401797074,0.17899471552580182,0.3405846260744456,0.31711617416918225,0.2544265245716213,0.18097602223738765,0.3649585499204322,0.6300992825286463,0.16104416442255612,0.23638727750781405,0.2494380153507044,0.2686296649861686,0.31358994611663726,0.26224405992406435
HINDUNILVR,-0.0007956567569890336,0.002375597680073499,0.10786527206672766,0.2698886400210458,0.009843145897469005,0.12495520284345998,0.13945401694298298,0.127433323506749,-0.058290965768311,0.15853115551028493,-0.0014986188671549845,0.46828334590775983,0.042073479591646555,-0.038130345498176295,0.16335780615495074,0.12002584992824754,0.1676321274071574,0.12318501580534467,0.07931328803043683,0.13667033054518485,0.20605383957921522,0.07536048588065981,1.0,0.0009917798979229159,0.08184210286524757,0.1641718177900099,0.3250500355874592,0.14145793643410068,0.16670607597106163,0.024986612812730916,0.13020538841324442,0.1480395213403051,0.4640841331292226,-0.047525033234824626,-0.016746716338779735,-0.07779153263335312,0.09257287984487032,0.2611559288326374,-0.05993339256353352,0.03293622778075348,0.0513384892384068,0.41207099376389406,0.08802417313583706,0.08473425857585834,0.14534472933707102,0.13131272639412817,0.18747665018653012,0.08396386149458931,0.16512597603054094,0.1854248258572572
ICICIBANK,0.3945843733469138,0.44228876077180634,0.16430302282408987,0.15883876844346126,0.6367860712450544,0.10852224778301449,0.41541877646453335,0.35000757601999377,0.3137347901782477,0.3666095767942784,0.22719149472096598,0.046590157878153265,0.0817469886521778,0.24860797350541586,0.03474269773495801,0.35130827193487035,0.40526349815616486,0.10751677968460914,0.43343202017590365,0.19820372116116067,0.14165590451430626,0.17665388503363183,0.0009917798979229159,1.0,0.3557739441415789,0.2004980211523376,0.31489340505515834,0.3803695366759501,0.44407608821853267,0.41870586429284967,0.3152969179642255,0.23161133465273612,0.09301676649421296,0.35849330026436665,0.2778729952267743,0.2980626093690692,0.39652392915056695,0.213374685737872,0.5172191482353047,0.449878029234802,0.20272564248857125,0.12059223927769683,0.19967367981777367,0.34527940440859317,0.16648861508644344,0.16865500178890175,0.14647431234434818,0.12165853749450802,0.43020807625861485,0.22165481981934443
INDUSINDBK,0.39134697585260536,0.4224310250507616,0.12915176060937117,0.18085496714967206,0.33966104800646485,0.20611752897820393,0.42296026356210936,0.4062664984286061,0.3086074944199182,0.23163899240921432,0.3569378290536558,0.11789502838816954,0.0464387278001757,0.34369420568839676,0.08662170158561452,0.2678058073282277,0.3423921319823583,0.1218945396366945,0.3666265891925776,0.18167766776174518,0.20333274974864,0.27913988767058223,0.08184210286524757,0.3557739441415789,1.0,0.11124536756261724,0.1753102857685558,0.40273711775632975,0.32608437150783265,0.42210409573628177,0.3522068548273418,0.30479875348665186,0.1742768218867108,0.44616080868879643,0.32314181980601064,0.33037329859263237,0.39557386850284915,0.2218815663358047,0.45217493231921724,0.4344296885150352,0.12291706675322549,0.2735500110195814,0.3333592169520063,0.39625810124700944,0.08559047262765863,0.10315296762020999,0.24043349852813695,0.19912566574353294,0.3450658328483518,0.18657329941675105
INFY,0.1151490132008911,0.14939963769592102,0.12167130146685298,0.10430989690679814,0.08646718438208449,-0.0034872383004443987,0.24134770192708113,0.1974462437124762,0.16470542530909557,0.28884601431215595,0.126542243588346,0.1066992748955334,0.06318707294981711,0.11752071715232679,0.24261214084038682,0.13271702931998292,0.1833473672409521,0.6897400029568795,0.11001535425594604,0.07306761553396389,0.10451824532258296,0.17839155872566248,0.1641718177900099,0.2004980211523376,0.11124536756261724,1.0,0.207512339599268,0.2174173609022972,0.16981457192861393,0.23420093544809126,0.2340012526255433,0.12259530017606801,0.0691623346170098,0.11935021410171011,0.22817555645683404,0.09214176532811907,0.1994787611796198,0.16493568354040958,0.17819069853329414,0.17098545259842562,0.14307331814243884,0.24519270130416088,0.18171033182177962,0.18095392698644067,0.7078841751701882,0.6491457614954589,0.21507237824740918,0.15099133419807098,0.2245645717144445,0.5712075926608157
ITC,0.2458028586259034,0.2737742060398364,0.1740457448901118,0.27555039963027667,0.27500064934151214,0.14041332240898494,0.30363592271009415,0.30440358287275265,0.2301950077706419,0.26051545813380483,0.18157116220853695,0.37640022948131746,0.12774478934914657,0.24418980238539476,0.18601220764515985,0.2627810469831922,0.27867419546188293,0.17785421430167275,0.16706536775383027,0.1973892242985602,0.10867524695525956,0.1455052804050285,0.3250500355874592,0.31489340505515834,0.1753102857685558,0.207512339599268,1.0,0.31000918359794755,0.24061399149100124,0.24946513182268018,0.19624580014833648,0.2505896113156947,0.3314813186910511,0.23570812809868524,0.19605964653313124,0.13533284266545378,0.29556682154929953,0.2075114257725708,0.26303203409224074,0.23580555616823112,0.18699493800648656,0.30265454490857974,0.18856371956042822,0.2572687710740445,0.15227394667725197,0.21781560466216898,0.3182611629556045,0.15149140688379087,0.2601443621252303,0.23313948599308476
JSWSTEEL,0.40566412739227775,0.4346056333880308,0.27605978619516347,0.33356619668119664,0.3659663237514709,0.22346056490339763,0.44752583139088487,0.39093433598758565,0.4587833717218399,0.36482968466234794,0.3664248738585794,0.19542312489178917,0.1615995702728533,0.44003819846992115,0.2442782206628036,0.32916958551550163,0.5078760998364702,0.25520682044884657,0.3692665318229937,0.25802162776936577,0.21255386878694132,0.6093559590991925,0.14145793643410068,0.3803695366759501,0.40273711775632975,0.2174173609022972,0.31000918359794755,1.0,0.3053684514499001,0.4924811526077731,0.41812629396241213,0.37034510671084286,0.15784079896780948,0.5103602083325689,0.44119217332439054,0.4560522823688258,0.4223713671939522,0.2308910138851656,0.45087944205593705,0.4159659226506089,0.25222186112334,0.23553247098047903,0.408712434300929,0.794189129847186,0.20929134202410482,0.2689890432924979,0.3221275143662096,0.2569765048742589,0.5466431320829088,0.3603737925268316
KOTAKBANK,0.24375207896029524,0.3058384052939919,0.13979523467214766,0.18120213777506164,0.2920391919103795,0.08262777274474209,0.2731039751871352,0.315904194544074,0.266513702493666,0.3189908649455067,0.15575241690323138,0.22539551167605787,0.03624494443248808,0.228943802491796,-0.04990045805380203,0.24032125182374203,0.24638142816571143,0.12301184832805688,0.4233068060804703,0.2095446287440746,0.14548783093948178,0.2027425469796398,0.16670607597106163,0.44407608821853267,0.32608437150783265,0.16981457192861393,0.24061399149100124,0.3053684514499001,1.0,0.2779961074617669,0.23768404613297678,0.21887945370794912,0.12365879229696188,0.236328091247412,0.23556528414119252,0.1922213090762746,0.3510816271875215,0.2912511199138028,0.2813006351339595,0.28601476123295333,0.08910037108174428,0.1974292017721705,0.1602055379086266,0.26272624221443097,0.11556480163922807,0.17473849328787103,0.16805281132577893,0.08100530728761046,0.33477011685126007,0.24581233545254239
